unique_id,fiscal_year,agency,sub_agency,program,sub_program,sub_program_2,sub_program_3,budget_source,budget_stage,granularity,amount_millions,funding_type,program_status,is_non_add,source_id,source_page,"fte_center_abbrev	",fte_work_unit,fte_work_unit_certainty,fte_pct_rifd,fte_currently_rifd_count,fte_not_impacted,fte_admin_leave,fte_reinstated,fte_separated,fte_unclear,fte_total_fte
CDC-001867,2026,HHS,CDC,Immunization and Respiratory Diseases,Influenza Planning and Response,,,Joint Explanatory Statement,Enacted,sub_program_level,231.4,Discretionary,Active,No,S021,17,NCIRD,National Center for Immunization and Respiratory Diseases,High,2,18,939,,159,18,,1116
CDC-001868,2026,HHS,CDC,Immunization and Respiratory Diseases,Section 317 Immunization Program,,,Joint Explanatory Statement,Enacted,sub_program_level,681.9,Total,Active,No,S021,17,NCIRD,National Center for Immunization and Respiratory Diseases,High,2,18,939,,159,18,,1116
CDC-001869,2026,HHS,CDC,Immunization and Respiratory Diseases,Section 317 Immunization Program,Section 317 Immunization Program Transfer from the Prevention and Public Health Fund,,Joint Explanatory Statement,Enacted,sub_program_2_level,596.4,PPHF,Active,Subcomponent,S021,17,NCIRD,National Center for Immunization and Respiratory Diseases,High,2,18,939,,159,18,,1116
CDC-001870,2026,HHS,CDC,Immunization and Respiratory Diseases,Section 317 Immunization Program,Section 317 Immunization Program appropriations,,Joint Explanatory Statement,Enacted,sub_program_2_level,85.5,Discretionary,Active,Subcomponent,S021,17,NCIRD,National Center for Immunization and Respiratory Diseases,High,2,18,939,,159,18,,1116
CDC-001873,2026,HHS,CDC,"HIV/AIDS, Viral Hepatitis, Sexually Transmitted Diseases, and Tuberculosis Prevention",Domestic HIV/AIDS Prevention and Research,,,Joint Explanatory Statement,Enacted,sub_program_level,1013.7,Discretionary,Active,No,S021,31,NCHHSTP,Division of HIV Prevention,High,7,33,292,33,127,,,452
CDC-001874,2026,HHS,CDC,"HIV/AIDS, Viral Hepatitis, Sexually Transmitted Diseases, and Tuberculosis Prevention",Infectious Diseases and the Opioid Epidemic,,,Joint Explanatory Statement,Enacted,sub_program_level,23,Discretionary,Active,No,S021,31,NCHHSTP,Division of Sexually Transmitted Disease Prevention; Division of Tuberculosis Elimination; Division of Viral Hepatitis,High,3,13,346,13,105,0,0,464
CDC-001875,2026,HHS,CDC,"HIV/AIDS, Viral Hepatitis, Sexually Transmitted Diseases, and Tuberculosis Prevention",Sexually Transmitted Infections,,,Joint Explanatory Statement,Enacted,sub_program_level,164.3,Discretionary,Active,No,S021,31,NCHHSTP,Division of Sexually Transmitted Disease Prevention; Division of Tuberculosis Elimination; Division of Viral Hepatitis,High,3,13,346,13,105,0,0,464
CDC-001876,2026,HHS,CDC,"HIV/AIDS, Viral Hepatitis, Sexually Transmitted Diseases, and Tuberculosis Prevention",Tuberculosis,,,Joint Explanatory Statement,Enacted,sub_program_level,137,Discretionary,Active,No,S021,31,NCHHSTP,Division of Sexually Transmitted Disease Prevention; Division of Tuberculosis Elimination; Division of Viral Hepatitis,High,3,13,346,13,105,0,0,464
CDC-001877,2026,HHS,CDC,"HIV/AIDS, Viral Hepatitis, Sexually Transmitted Diseases, and Tuberculosis Prevention",Viral Hepatitis,,,Joint Explanatory Statement,Enacted,sub_program_level,46,Discretionary,Active,No,S021,31,NCHHSTP,Division of Sexually Transmitted Disease Prevention; Division of Tuberculosis Elimination; Division of Viral Hepatitis,High,3,13,346,13,105,0,0,464
CDC-001878,2026,HHS,CDC,"HIV/AIDS, Viral Hepatitis, Sexually Transmitted Diseases, and Tuberculosis Prevention",Domestic HIV/AIDS Prevention and Research,HIV Initiative,,Joint Explanatory Statement,Enacted,sub_program_2_level,220,Discretionary,Active,Non-add,S021,31,NCHHSTP,Division of HIV Prevention,High,7,33,292,33,127,,,452
