unique_id,record_id,fiscal_year,agency,sub_agency,program,sub_program,sub_program_2,sub_program_3,budget_source,budget_stage,granularity,amount_millions,funding_type,program_status,is_non_add,notes,source_id,source_page,date_entered,entered_by,verified,crosswalk_note,,
CDC-000001,1,2024,HHS,CDC,Immunization and Respiratory Diseases,,,,Congressional Justification,Request,program_level,750.93,Discretionary,Active,No,,S002,66,2026-03-08,YG,No,,,
CDC-000002,2,2024,HHS,CDC,Immunization and Respiratory Diseases,,,,Congressional Justification,Request,program_level,505,PPHF,Active,No,,S002,66,2026-03-08,YG,No,,,
CDC-000003,3,2024,HHS,CDC,Immunization and Respiratory Diseases,,,,Congressional Justification,Request,program_level,1255.93,Total,Active,No,,S002,66,2026-03-08,YG,No,,,
CDC-000004,4,2024,HHS,CDC,Immunization and Respiratory Diseases,Acute Flaccid Myelitis,,,Congressional Justification,Request,sub_program_level,6,Discretionary,Active,No,,S002,66,2026-03-08,YG,No,,,
CDC-000005,5,2024,HHS,CDC,Immunization and Respiratory Diseases,Immunization and Other Respiratory Diseases,,,Congressional Justification,Request,sub_program_level,998.572,Total,Active,No,Total for Immunization and Other Respiratory Diseases. BA ($493.572M) + PPHF ($505.000M) = $998.572M.,S002,66,2026-03-20,YG,No,,,
CDC-000006,6,2024,HHS,CDC,Immunization and Respiratory Diseases,Influenza Planning and Response,,,Congressional Justification,Request,sub_program_level,251.358,Discretionary,Active,No,,S002,66,2026-03-08,YG,No,,,
CDC-000007,7,2024,HHS,CDC,Immunization and Respiratory Diseases,Immunization and Other Respiratory Diseases,Immunization Program,,Congressional Justification,Request,sub_program_2_level,493.572,Discretionary,Active,Subcomponent,,S002,66,2026-03-08,YG,No,,,
CDC-000008,8,2024,HHS,CDC,Immunization and Respiratory Diseases,Immunization and Other Respiratory Diseases,Immunization Program (PPHF),,Congressional Justification,Request,sub_program_2_level,505,PPHF,Active,Subcomponent,,S002,66,2026-03-08,YG,No,,,
CDC-000009,9,2024,HHS,CDC,"HIV/AIDS, Viral Hepatitis, STI and TB Prevention",,,,Congressional Justification,Request,program_level,1544.556,Discretionary,Active,No,,S002,92,2026-03-08,YG,No,,,
CDC-000010,10,2024,HHS,CDC,"HIV/AIDS, Viral Hepatitis, STI and TB Prevention",,,,Congressional Justification,Request,program_level,1544.556,Total,Active,No,,S002,92,2026-03-08,YG,No,,,
CDC-000011,11,2024,HHS,CDC,"HIV/AIDS, Viral Hepatitis, STI and TB Prevention",Domestic HIV/AIDS Prevention and Research,,,Congressional Justification,Request,sub_program_level,1155.712,Discretionary,Active,No,,S002,92,2026-03-08,YG,No,,,
CDC-000012,12,2024,HHS,CDC,"HIV/AIDS, Viral Hepatitis, STI and TB Prevention",Infectious Diseases and the Opioid Epidemic,,,Congressional Justification,Request,sub_program_level,23,Discretionary,Active,No,,S002,92,2026-03-08,YG,No,,,
CDC-000013,13,2024,HHS,CDC,"HIV/AIDS, Viral Hepatitis, STI and TB Prevention",Sexually Transmitted Infections (STIs),,,Congressional Justification,Request,sub_program_level,174.31,Discretionary,Active,No,,S002,92,2026-03-08,YG,No,,,
CDC-000014,14,2024,HHS,CDC,"HIV/AIDS, Viral Hepatitis, STI and TB Prevention",Tuberculosis,,,Congressional Justification,Request,sub_program_level,137.034,Discretionary,Active,No,,S002,92,2026-03-08,YG,No,,,
CDC-000015,15,2024,HHS,CDC,"HIV/AIDS, Viral Hepatitis, STI and TB Prevention",Viral Hepatitis,,,Congressional Justification,Request,sub_program_level,54.5,Discretionary,Active,No,,S002,92,2026-03-08,YG,No,,,
CDC-000016,16,2024,HHS,CDC,"HIV/AIDS, Viral Hepatitis, STI and TB Prevention",Domestic HIV/AIDS Prevention and Research,Ending HIV Initiative,,Congressional Justification,Request,sub_program_2_level,310,Discretionary,Active,Non-add,,S002,92,2026-03-08,YG,No,,,
