unique_id,fiscal_year,agency,sub_agency,program,sub_program,sub_program_2,sub_program_3,budget_source,budget_stage,granularity,amount_millions,funding_type,program_status,is_non_add,notes,source_id,source_page
CDC-000001,2024,HHS,CDC,Immunization and Respiratory Diseases,,,,Congressional Justification,Request,program_level,750.93,Discretionary,Active,No,,S002,66
CDC-000002,2024,HHS,CDC,Immunization and Respiratory Diseases,,,,Congressional Justification,Request,program_level,505,PPHF,Active,No,,S002,66
CDC-000003,2024,HHS,CDC,Immunization and Respiratory Diseases,,,,Congressional Justification,Request,program_level,1255.93,Total,Active,No,,S002,66
CDC-000004,2024,HHS,CDC,Immunization and Respiratory Diseases,Acute Flaccid Myelitis,,,Congressional Justification,Request,sub_program_level,6,Discretionary,Active,No,,S002,66
CDC-000005,2024,HHS,CDC,Immunization and Respiratory Diseases,Immunization and Other Respiratory Diseases,,,Congressional Justification,Request,sub_program_level,998.572,Total,Active,No,Total for Immunization and Other Respiratory Diseases. BA ($493.572M) + PPHF ($505.000M) = $998.572M.,S002,66
CDC-000006,2024,HHS,CDC,Immunization and Respiratory Diseases,Influenza Planning and Response,,,Congressional Justification,Request,sub_program_level,251.358,Discretionary,Active,No,,S002,66
CDC-000007,2024,HHS,CDC,Immunization and Respiratory Diseases,Immunization and Other Respiratory Diseases,Immunization Program,,Congressional Justification,Request,sub_program_2_level,493.572,Discretionary,Active,Subcomponent,,S002,66
CDC-000008,2024,HHS,CDC,Immunization and Respiratory Diseases,Immunization and Other Respiratory Diseases,Immunization Program (PPHF),,Congressional Justification,Request,sub_program_2_level,505,PPHF,Active,Subcomponent,,S002,66
CDC-000009,2024,HHS,CDC,"HIV/AIDS, Viral Hepatitis, STI and TB Prevention",,,,Congressional Justification,Request,program_level,1544.556,Discretionary,Active,No,,S002,92
CDC-000010,2024,HHS,CDC,"HIV/AIDS, Viral Hepatitis, STI and TB Prevention",,,,Congressional Justification,Request,program_level,1544.556,Total,Active,No,,S002,92
CDC-000011,2024,HHS,CDC,"HIV/AIDS, Viral Hepatitis, STI and TB Prevention",Domestic HIV/AIDS Prevention and Research,,,Congressional Justification,Request,sub_program_level,1155.712,Discretionary,Active,No,,S002,92
CDC-000012,2024,HHS,CDC,"HIV/AIDS, Viral Hepatitis, STI and TB Prevention",Infectious Diseases and the Opioid Epidemic,,,Congressional Justification,Request,sub_program_level,23,Discretionary,Active,No,,S002,92
CDC-000013,2024,HHS,CDC,"HIV/AIDS, Viral Hepatitis, STI and TB Prevention",Sexually Transmitted Infections (STIs),,,Congressional Justification,Request,sub_program_level,174.31,Discretionary,Active,No,,S002,92
CDC-000014,2024,HHS,CDC,"HIV/AIDS, Viral Hepatitis, STI and TB Prevention",Tuberculosis,,,Congressional Justification,Request,sub_program_level,137.034,Discretionary,Active,No,,S002,92
CDC-000015,2024,HHS,CDC,"HIV/AIDS, Viral Hepatitis, STI and TB Prevention",Viral Hepatitis,,,Congressional Justification,Request,sub_program_level,54.5,Discretionary,Active,No,,S002,92
CDC-000016,2024,HHS,CDC,"HIV/AIDS, Viral Hepatitis, STI and TB Prevention",Domestic HIV/AIDS Prevention and Research,Ending HIV Initiative,,Congressional Justification,Request,sub_program_2_level,310,Discretionary,Active,Non-add,,S002,92
CDC-000017,2024,HHS,CDC,"HIV/AIDS, Viral Hepatitis, STI and TB Prevention",Domestic HIV/AIDS Prevention and Research,School Health — HIV,,Congressional Justification,Request,sub_program_2_level,90.081,Discretionary,Active,Non-add,,S002,92
CDC-000018,2024,HHS,CDC,Emerging and Zoonotic Infectious Diseases,,,,Congressional Justification,Request,program_level,793.772,Discretionary,Active,No,,S002,118
CDC-000019,2024,HHS,CDC,Emerging and Zoonotic Infectious Diseases,,,,Congressional Justification,Request,program_level,52,PPHF,Active,No,,S002,118
CDC-000020,2024,HHS,CDC,Emerging and Zoonotic Infectious Diseases,,,,Congressional Justification,Request,program_level,845.772,Total,Active,No,,S002,118
CDC-000021,2024,HHS,CDC,Emerging and Zoonotic Infectious Diseases,Advanced Molecular Detection (AMD),,,Congressional Justification,Request,sub_program_level,40,Discretionary,Active,No,,S002,118
CDC-000022,2024,HHS,CDC,Emerging and Zoonotic Infectious Diseases,Antimicrobial Resistance Initiative,,,Congressional Justification,Request,sub_program_level,212,Discretionary,Active,No,,S002,118
CDC-000023,2024,HHS,CDC,Emerging and Zoonotic Infectious Diseases,Chronic Fatigue Syndrome,,,Congressional Justification,Request,sub_program_level,5.4,Discretionary,Active,No,,S002,118
CDC-000024,2024,HHS,CDC,Emerging and Zoonotic Infectious Diseases,Emerging Infectious Diseases,,,Congressional Justification,Request,sub_program_level,242.997,Discretionary,Active,No,,S002,118
CDC-000025,2024,HHS,CDC,Emerging and Zoonotic Infectious Diseases,Epi and Lab Capacity Program (PPHF),,,Congressional Justification,Request,sub_program_level,40,PPHF,Active,No,,S002,118
CDC-000026,2024,HHS,CDC,Emerging and Zoonotic Infectious Diseases,Food Safety,,,Congressional Justification,Request,sub_program_level,71,Discretionary,Active,No,,S002,118
CDC-000027,2024,HHS,CDC,Emerging and Zoonotic Infectious Diseases,Harmful Algal Blooms,,,Congressional Justification,Request,sub_program_level,3.5,Discretionary,Active,No,,S002,118
CDC-000028,2024,HHS,CDC,Emerging and Zoonotic Infectious Diseases,Healthcare-Associated Infections (PPHF),,,Congressional Justification,Request,sub_program_level,12,PPHF,Active,No,,S002,118
CDC-000029,2024,HHS,CDC,Emerging and Zoonotic Infectious Diseases,National Healthcare Safety Network,,,Congressional Justification,Request,sub_program_level,50,Discretionary,Active,No,,S002,118
CDC-000030,2024,HHS,CDC,Emerging and Zoonotic Infectious Diseases,Prion Disease,,,Congressional Justification,Request,sub_program_level,7.5,Discretionary,Active,No,,S002,118
CDC-000031,2024,HHS,CDC,Emerging and Zoonotic Infectious Diseases,Quarantine,,,Congressional Justification,Request,sub_program_level,72.772,Discretionary,Active,No,,S002,118
CDC-000032,2024,HHS,CDC,Emerging and Zoonotic Infectious Diseases,Vector-Borne Diseases,,,Congressional Justification,Request,sub_program_level,88.603,Discretionary,Active,No,,S002,118
CDC-000033,2024,HHS,CDC,Emerging and Zoonotic Infectious Diseases,Vector-Borne Diseases,Lyme Disease and other Tick-Borne Diseases,,Congressional Justification,Request,sub_program_2_level,26,Discretionary,Active,Non-add,,S002,118
CDC-000034,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,,,,Congressional Justification,Request,program_level,1551.339,Discretionary,Active,No,,S002,142
CDC-000035,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,,,,Congressional Justification,Request,program_level,262.2,PPHF,Active,No,,S002,142
CDC-000036,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,,,,Congressional Justification,Request,program_level,1813.539,Total,Active,No,,S002,142
CDC-000037,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Arthritis,,,Congressional Justification,Request,sub_program_level,11,Discretionary,Active,No,,S002,142
CDC-000038,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Cancer Prevention and Control,,,Congressional Justification,Request,sub_program_level,531.074,Discretionary,Active,No,,S002,142
CDC-000039,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Diabetes,,,Congressional Justification,Request,sub_program_level,102.854,Discretionary,Active,No,,S002,142
CDC-000040,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Diabetes (PPHF),,,Congressional Justification,Request,sub_program_level,52.275,PPHF,Active,No,,S002,142
CDC-000041,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Epilepsy,,,Congressional Justification,Request,sub_program_level,11.5,Discretionary,Active,No,,S002,142
CDC-000042,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Health Promotion,,,Congressional Justification,Request,sub_program_level,62.6,Discretionary,Active,No,,S002,142
CDC-000043,2024,HHS,CDC,Chronic Disease Prevention and Health Promotion,Heart Disease and Stroke,,,Congressional Justification,Request,sub_program_level,98.03,Discretionary,Active,No,,S002,142
