CIOCenterDiv,Center,Division,Branch,Total,Not Impacted,Admin Leave,Reinstated,Separated,Unclear
CDC\DDNID\ATSDR\OA\OD\OAD,Agency for Toxic Substances and Disease Registry,Office of the Administrator,Office of the Assistant Director,33,33,,,,
CDC\DDNID\ATSDR\OA\OD\OAD\OCDAPS,Agency for Toxic Substances and Disease Registry,Office of the Administrator,Office of Capacity Development and Applied Prevention Science,29,29,,,,
CDC\DDNID\ATSDR\OA\OD\OAD\OCHHA,Agency for Toxic Substances and Disease Registry,Office of the Administrator,Office of Community Health Hazard Assessment,52,52,,,,
CDC\DDNID\ATSDR\OA\OD\OAD\OIA,Agency for Toxic Substances and Disease Registry,Office of the Administrator,Office of Innovation and Analytics,45,45,,,,
CDC\DDNID\ATSDR\OA\OD\OCOM,Agency for Toxic Substances and Disease Registry,Office of the Administrator,Office of Communications,8,8,,,,
CDC\DDNID\ATSDR\OA\OD\OMA,Agency for Toxic Substances and Disease Registry,Office of the Administrator,Office of Management and Analytics,13,13,,,,
CDC\DDNID\ATSDR\OA\OD\OMA\OD,Agency for Toxic Substances and Disease Registry,Office of the Administrator,Office of Management and Analytics,1,1,,,,
CDC\DDNID\ATSDR\OA\OD\OPPP,Agency for Toxic Substances and Disease Registry,Office of the Administrator,"Office of Policy, Partnerships, and Planning",6,6,,,,
CDC\DDNID\ATSDR\OA\OD\OS,Agency for Toxic Substances and Disease Registry,Office of the Administrator,Office of Science,10,10,,,,
CDC\DDPHSS\CSELS\DSEPD\PHWB,Public Health Infrastructure Center,Division of Workforce Development,Public Health Workforce Branch,2,2,,,,
CDC\GHC\DGHP,Global Health Center,Division of Global Health Protection,Office of the Director,1,1,,,,
CDC\GHC\DGHP\GPEMB,Global Health Center,Division of Global Health Protection,Global Program and Extramural Management Branch,88,88,,,,
CDC\GHC\DGHP\GPHEB,Global Health Center,Division of Global Health Protection,Global Public Health Emergency Branch,23,23,,,,
CDC\GHC\DGHP\GPHSB,Global Health Center,Division of Global Health Protection,Global Public Health Emergency Branch,19,19,,,,
CDC\GHC\DGHP\GSLDSB,Global Health Center,Division of Global Health Protection,"Global Surveillance, Laboratory, and Data Systems Branch",27,27,,,,
CDC\GHC\DGHP\GWDB,Global Health Center,Division of Global Health Protection,Global Workforce Development Branch,11,11,,,,
CDC\GHC\DGHP\OD,Global Health Center,Division of Global Health Protection,Office of the Director,43,43,,,,
CDC\GHC\DGHT,Global Health Center,Division of Global HIV and TB,Office of the Director,5,5,,,,
CDC\GHC\DGHT\EHSRB,Global Health Center,Division of Global HIV and TB,Economics and Health Services Research Branch,19,,,,19,
CDC\GHC\DGHT\ESB,Global Health Center,Division of Global HIV and TB,Epidemiology and Surveillance Branch,27,27,,,,
